pdga_number,PlayerName,week_rank,week,division,state,country,HomeStateCountry,member_since,TotalEvents,Wins,Earnings,id,created_at
73986,Kristin Tattar,1,2023-05,FPO,,Estonia,Estonia,2015,148,85,206906,82,2023-01-30 00:58:44
44184,Catrina Allen,2,2023-05,FPO,South Dakota,United States,South Dakota,2010,405,185,343963,40,2023-01-30 00:57:04
29190,Paige Pierce,3,2023-05,FPO,Florida,United States,Florida,2006,344,155,373668,24,2023-01-30 00:55:55
85942,Missy Gannon,4,2023-05,FPO,New York,United States,New York,2016,159,39,171674,90,2023-01-30 00:59:06
48976,Ohn Scoggins,5,2023-05,FPO,California,United States,California,2011,174,85,146085,110,2023-01-30 00:57:17
62879,Valerie Mandujano,6,2023-05,FPO,Texas,United States,Texas,2014,124,51,72411,66,2023-01-30 00:58:18
114560,Natalie Ryan,7,2023-05,FPO,Virginia,United States,Virginia,2018,72,29,47038,340,2023-01-30 00:59:38
59227,Henna Blomroos,8,2023-05,FPO,,Finland,Finland,2013,106,38,59328,58,2023-01-30 00:58:02
81351,Hailey King,9,2023-05,FPO,North Carolina,United States,North Carolina,2016,122,26,120830,86,2023-01-30 00:58:59
34563,Sarah Hokom,10,2023-05,FPO,Idaho,United States,Idaho,2008,366,103,226803,29,2023-01-30 00:56:37
64927,Eveliina Salonen,11,2023-05,FPO,NULL,Finland,NULL,2014,101,46,64314,70,2023-01-30 00:58:26
144112,Ella Hansen,12,2023-05,FPO,Washington,United States,Washington,2020,74,9,55305,107,2023-01-30 00:59:57
133547,Holyn Handley,13,2023-05,FPO,Texas,United States,Texas,2020,76,23,57367,357,2023-01-30 00:59:48
99455,Kat Mertsch,14,2023-05,FPO,Arkansas,United States,Arkansas,2017,128,28,58585,94,2023-01-30 00:59:18
104187,Macie Velediaz,15,2023-05,FPO,Tennessee,United States,Tennessee,2018,92,42,39883,320,2023-01-30 00:59:25
63257,Maria Oliva,16,2023-05,FPO,Texas,United States,Texas,2014,171,46,46662,247,2023-01-30 00:58:23
61144,Emily Beach,17,2023-05,FPO,Oklahoma,United States,Oklahoma,2013,144,50,41443,61,2023-01-30 00:58:11
50656,Jessica Weese,18,2023-05,FPO,California,United States,California,2011,288,71,128529,49,2023-01-30 00:57:30
66842,Deann Carey,19,2023-05,FPO,North Carolina,United States,North Carolina,2014,234,41,44946,73,2023-01-30 00:58:34
15354,Jennifer Allen,20,2023-05,FPO,Arizona,United States,Arizona,1999,302,163,107939,10,2023-01-30 00:55:22
62880,Alexis Mandujano,21,2023-05,FPO,Texas,United States,Texas,2014,109,18,31114,109,2023-01-30 00:58:20
32654,Lisa Fajkus,22,2023-05,FPO,Texas,United States,Texas,2007,301,70,116268,25,2023-01-30 00:56:15
32917,Rebecca Cox,23,2023-05,FPO,Ohio,United States,Ohio,2007,215,42,61716,26,2023-01-30 00:56:21
27832,Kona Montgomery,24,2023-05,FPO,California,United States,California,2005,183,25,51426,22,2023-01-30 00:55:47
7438,Juliana Korver,25,2023-05,FPO,Iowa,United States,Iowa,1993,393,252,123576,102,2023-01-30 00:55:17
59431,Madison Walker,26,2023-05,FPO,Florida,United States,Florida,2013,183,22,56356,59,2023-01-30 00:58:05
51277,Holly Finley,27,2023-05,FPO,Tennessee,United States,Tennessee,2012,254,54,71877,51,2023-01-30 00:57:38
94085,Keiti Tätte,28,2023-05,FPO,NULL,Estonia,NULL,2017,98,19,12889,1690,2023-01-30 00:59:12
62325,Vanessa Van Dyken,29,2023-05,FPO,California,United States,California,2013,141,20,38872,64,2023-01-30 00:58:17
75029,Cynthia Ricciotti,30,2023-05,FPO,Missouri,United States,Missouri,2015,114,20,13408,83,2023-01-30 00:58:49
96030,Alex Benson,31,2023-05,FPO,Vermont,United States,Vermont,2017,71,27,14009,304,2023-01-30 00:59:15
124963,Stacie Kiefer,32,2023-05,FPO,Michigan,United States,Michigan,2019,78,29,12944,352,2023-01-30 00:59:44
66599,Heidi Laine,33,2023-05,FPO,Päijät-Häme,Finland,Päijät-Häme,2014,99,34,27532,190,2023-01-30 00:58:30
122208,Stacie Rawnsley,34,2023-05,FPO,Indiana,United States,Indiana,2019,88,19,23091,140,2023-01-30 00:59:43
58276,Ellen Widboom,35,2023-05,FPO,Florida,United States,Florida,2013,258,105,61004,56,2023-01-30 00:57:59
105126,Aria Castruita,36,2023-05,FPO,Texas,United States,Texas,2018,79,23,16851,1691,2023-01-30 00:59:26
71262,Erika Stinchcomb,37,2023-05,FPO,Montana,United States,Montana,2015,129,7,16485,261,2023-01-30 00:58:40
112647,Hanna Huynh,38,2023-05,FPO,Washington,United States,Washington,2018,52,5,12264,1693,2023-01-30 00:59:35
100965,Heather Young,39,2023-05,FPO,Tennessee,United States,Tennessee,2017,59,18,40029,95,2023-01-30 00:59:20
99441,Lykke Lorentzen,40,2023-05,FPO,NULL,Norway,NULL,2017,92,30,14148,308,2023-01-30 00:59:16
